Time  Force
23.056  40.0
23.074  40.0
23.089  40.0
23.105  40.0
23.123  40.0
23.142  40.0
23.157  40.0
23.173  40.0
23.197  40.0
23.212  40.0
23.227  40.0
23.249  40.0
23.262  40.0
23.278  40.0
23.295  40.0
23.311  40.0
23.328  40.0
23.345  40.0
23.361  40.0
23.388  40.0
23.399  40.0
23.417  40.0
23.434  40.0
23.454  40.0
23.467  40.0
23.48  40.0
23.5  40.0
23.516  40.0
23.53  40.0
23.55  40.0
23.57  40.0
23.581  40.0
23.598  40.0
23.64  40.0
23.658  40.0
23.669  40.0
23.697  40.0
23.715  40.0
23.735  40.0
23.753  40.0
23.77  40.0
23.788  40.0
23.806  40.0
23.82  40.0
23.838  40.0
23.857  40.0
23.871  40.0
23.892  40.0
23.904  40.0
23.921  40.0
23.949  40.0
23.958  40.0
23.975  40.0
23.994  40.0
24.01  40.0
24.025  40.0
24.045  40.0
24.066  40.0
24.077  40.0
24.093  40.0
24.109  40.0
24.127  40.0
24.147  40.0
24.159  40.0
24.176  40.0
24.201  40.0
24.217  40.0
24.234  40.0
24.249  40.0
24.268  40.0
24.283  40.0
24.301  40.0
24.322  40.0
24.334  40.0
24.349  40.0
24.366  40.0
24.381  40.0
24.4  40.0
24.416  40.0
24.434  40.0
24.452  40.0
24.472  39.0
24.481  39.0
24.499  39.0
24.523  39.0
24.542  39.0
24.563  39.0
24.592  39.0
24.616  39.0
24.634  39.0
24.647  39.0
24.668  39.0
24.681  39.0
24.696  40.0
24.714  40.0
24.735  40.0
24.769  40.0
24.788  40.0
24.8  40.0
24.816  40.0
24.83  40.0
24.853  40.0
24.872  40.0
24.891  40.0
24.898  40.0
24.921  40.0
24.939  40.0
24.954  40.0
24.971  40.0
24.985  40.0
25.005  40.0
25.021  40.0
25.039  40.0
25.058  40.0
25.069  40.0
25.088  40.0
25.104  40.0
25.12  40.0
25.147  40.0
25.165  40.0
25.173  40.0
25.192  40.0
25.215  40.0
25.234  40.0
25.261  40.0
25.271  40.0
25.287  40.0
25.303  40.0
25.32  40.0
25.336  40.0
25.356  40.0
25.374  40.0
25.388  40.0
25.404  40.0
25.42  40.0
25.445  40.0
25.455  40.0
25.472  40.0
25.491  40.0
25.505  40.0
25.521  40.0
25.537  40.0
25.555  40.0
25.573  40.0
25.589  40.0
25.609  40.0
25.627  40.0
25.642  40.0
25.657  40.0
25.68  40.0
25.693  40.0
25.707  40.0
25.726  40.0
25.754  40.0
25.762  40.0
25.797  40.0
25.816  40.0
25.839  40.0
25.853  40.0
25.881  40.0
25.901  39.0
25.909  39.0
25.929  39.0
25.943  39.0
25.96  39.0
25.98  39.0
25.994  39.0
26.014  39.0
26.034  39.0
26.043  39.0
26.06  39.0
26.077  39.0
26.095  40.0
26.112  40.0
26.127  40.0
26.144  40.0
26.162  40.0
26.178  40.0
26.195  40.0
26.21  40.0
26.232  40.0
26.245  40.0
26.269  40.0
26.287  40.0
26.31  40.0
26.325  40.0
26.341  40.0
26.365  40.0
26.387  40.0
26.403  40.0
26.427  40.0
26.437  40.0
26.452  40.0
26.472  40.0
26.492  40.0
26.505  40.0
26.519  40.0
26.538  40.0
26.554  40.0
26.572  40.0
26.588  40.0
26.604  40.0
26.619  40.0
26.636  40.0
26.653  40.0
26.67  40.0
26.687  40.0
26.705  39.0
26.719  39.0
26.736  39.0
26.76  39.0
26.778  39.0
26.787  39.0
26.804  39.0
26.823  39.0
26.837  39.0
26.855  39.0
26.871  39.0
26.889  39.0
26.904  39.0
26.922  39.0
26.937  39.0
26.956  39.0
26.971  39.0
26.988  39.0
27.004  39.0
27.021  39.0
27.038  39.0
27.055  39.0
27.073  39.0
27.089  40.0
27.104  40.0
27.122  40.0
27.138  40.0
27.153  40.0
27.17  40.0
27.187  40.0
27.205  40.0
27.222  40.0
27.239  40.0
27.256  40.0
27.271  40.0
27.288  40.0
27.307  40.0
27.32  40.0
27.339  40.0
27.354  40.0
27.372  40.0
27.388  40.0
27.406  40.0
27.421  40.0
27.437  40.0
27.454  40.0
27.472  40.0
27.488  40.0
