Time  Force1  Force2
46.65  0.024437927  1.0654937
46.667  0.0342131  1.0801564
46.705  0.048875853  1.085044
46.724  0.058651026  1.0948192
46.742  0.05376344  1.1290323
46.76  0.048875853  1.1339198
46.76  0.048875853  1.1339198
46.779  0.04398827  1.1241447
46.796  0.04398827  1.1192571
46.814  0.04398827  1.0948192
46.851  0.04398827  0.99706745
46.869  0.048875853  0.9726295
46.887  0.048875853  0.9628543
46.925  0.058651026  0.9384164
46.944  0.048875853  0.90420336
46.962  0.048875853  0.86510265
46.981  0.04398827  0.7673509
47.014  0.0342131  0.4349951
47.032  0.039100684  0.25904202
47.049  0.048875853  0.12707722
47.067  0.048875853  0.08308896
47.084  0.048875853  0.048875853
47.116  0.029325513  0.0048875855
47.131  0.029325513  0.0
47.162  0.029325513  0.0
47.178  0.039100684  0.0048875855
47.194  0.029325513  0.0
47.224  0.0342131  0.0
47.224  0.0342131  0.0
47.256  0.009775171  0.0
47.256  0.009775171  0.0
47.287  0.024437927  0.0
47.303  0.014662757  0.0
47.319  0.029325513  0.0048875855
47.349  0.0048875855  0.0
47.366  0.0048875855  0.0
47.396  0.019550342  0.0
47.412  0.019550342  0.0
47.427  0.039100684  0.0
47.459  0.029325513  0.0048875855
47.474  0.0048875855  0.0
47.49  0.0  0.0
47.521  0.0  0.0
47.537  0.0  0.0
47.552  0.0  0.0
47.552  0.0  0.0
47.599  0.0  0.0048875855
47.599  0.0  0.0048875855
47.646  0.0  0.0
47.662  0.0048875855  0.0
47.677  0.019550342  0.0
47.709  0.0  0.0
47.724  0.0048875855  0.0
47.739  0.0  0.0
47.739  0.0  0.0
47.771  0.0  0.0
47.787  0.0  0.0
47.817  0.0  0.0
47.834  0.0  0.0
47.849  0.0  0.0
47.88  0.0  0.0
47.896  0.0  0.0
47.911  0.0  0.0
47.942  0.0  0.0
47.958  0.0  0.0
47.989  0.0  0.0
48.005  0.0  0.0
48.02  0.009775171  0.0
48.052  0.0  0.0
48.067  0.0  0.0
48.082  0.0  0.0
48.114  0.0  0.0
48.13  0.0  0.0
48.145  0.0  0.0
48.161  0.0  0.0
48.192  0.0  0.0
48.192  0.0  0.0
48.207  0.0  0.0
48.239  0.0  0.0
48.27  0.0  0.0
48.27  0.0  0.0
48.302  0.0048875855  0.0
48.332  0.0  0.0
48.364  0.0048875855  0.0
48.379  0.0048875855  0.029325513
48.379  0.0048875855  0.029325513
48.425  0.0  0.019550342
48.442  0.009775171  0.04398827
48.458  0.0  0.07331378
48.475  0.0  0.08308896
48.508  0.0  0.11730205
48.525  0.009775171  0.14662756
48.541  0.0048875855  0.17595308
48.575  0.0  0.21505377
48.591  0.0048875855  0.24437928
48.608  0.009775171  0.28347996
48.624  0.0048875855  0.32746822
48.658  0.0  0.47898337
48.675  0.0  0.52297163
48.694  0.0  0.53274685
48.711  0.0  0.6109482
48.729  0.0  0.6451613
48.764  0.014662757  0.73802537
48.782  0.009775171  0.75268817
48.799  0.014662757  0.75268817
48.817  0.014662757  0.6989247
48.835  0.009775171  0.6451613
48.869  0.0048875855  0.4740958
48.885  0.009775171  0.400782
48.903  0.024437927  0.3030303
48.935  0.0048875855  0.11730205
48.951  0.0  0.04398827
48.983  0.0  0.04398827
48.998  0.009775171  0.029325513
49.013  0.0  0.0
49.03  0.0  0.0
49.06  0.024437927  0.0048875855
49.076  0.0  0.009775171
49.107  0.0  0.0
49.123  0.0  0.0
49.138  0.014662757  0.0048875855
49.17  0.009775171  0.0
49.185  0.024437927  0.0
49.214  0.009775171  0.0
49.228  0.009775171  0.0
49.255  0.039100684  0.0
49.268  0.019550342  0.0
49.296  0.0342131  0.0
49.31  0.07820137  0.0
49.325  0.092864126  0.0
49.353  0.15640274  0.0
49.369  0.23949169  0.0
49.398  0.56207234  0.0
49.414  0.7771261  0.0
49.445  1.603128  0.0
49.445  1.603128  0.0
49.476  2.8250244  0.0
49.508  4.833822  0.0
49.508  4.833822  0.0
49.524  5.0  0.0
49.541  5.0  0.0
49.557  5.0  0.0
49.607  5.0  0.0
49.607  5.0  0.0
49.624  5.0  0.0
49.674  5.0  0.0
49.69  5.0  0.0
49.724  5.0  0.0
49.755  2.1309874  0.0048875855
49.771  1.260997  0.0
49.801  0.4692082  0.014662757
49.83  0.16129032  0.0
49.845  0.12218964  0.0
49.887  0.014662757  0.0
49.887  0.014662757  0.0
49.929  0.039100684  0.0
49.955  0.024437927  0.019550342
49.971  0.019550342  0.0
49.999  0.029325513  0.029325513
50.015  0.019550342  0.0684262
50.032  0.009775171  0.048875853
50.032  0.009775171  0.048875853
50.065  0.024437927  0.08308896
50.081  0.024437927  0.14662756
50.099  0.029325513  0.19061583
50.115  0.014662757  0.21016619
50.148  0.009775171  0.3079179
50.165  0.019550342  0.35190615
50.182  0.029325513  0.42521995
50.214  0.014662757  0.48387095
50.233  0.014662757  0.5034213
50.25  0.019550342  0.52297163
50.268  0.019550342  0.58162266
50.304  0.014662757  0.62072337
50.304  0.014662757  0.62072337
50.321  0.014662757  0.6402737
50.338  0.014662757  0.6109482
50.356  0.014662757  0.5669599
50.374  0.019550342  0.53763443
50.408  0.0048875855  0.38123167
50.426  0.014662757  0.29325512
50.444  0.009775171  0.17595308
50.461  0.014662757  0.10752688
50.479  0.009775171  0.06353861
50.512  0.0048875855  0.0048875855
50.529  0.009775171  0.0
50.545  0.014662757  0.0
50.563  0.014662757  0.0
50.595  0.014662757  0.0
50.612  0.009775171  0.0
50.629  0.0048875855  0.0
50.662  0.014662757  0.0
50.678  0.009775171  0.0048875855
50.696  0.0  0.0048875855
50.712  0.0048875855  0.0
50.745  0.009775171  0.0
50.762  0.019550342  0.0
50.78  0.0684262  0.024437927
50.797  0.029325513  0.048875853
50.833  0.009775171  0.07820137
50.85  0.014662757  0.12218964
50.868  0.029325513  0.15640274
50.885  0.0342131  0.22971652
50.904  0.0342131  0.3372434
50.921  0.039100684  0.42033237
50.958  0.039100684  0.5278593
50.976  0.024437927  0.65493643
50.995  0.024437927  0.66471165
51.013  0.029325513  0.6744868
51.051  0.0342131  0.71847504
51.069  0.039100684  0.742913
51.088  0.039100684  0.69403714
51.107  0.0342131  0.684262
51.126  0.0342131  0.6353861
51.145  0.05376344  0.5669599
51.165  0.04398827  0.5083089
51.182  0.04398827  0.40566957
51.217  0.039100684  0.19550341
51.235  0.04398827  0.14662756
51.254  0.048875853  0.07820137
51.27  0.0342131  0.024437927
51.304  0.014662757  0.0
51.32  0.024437927  0.0048875855
51.337  0.019550342  0.019550342
51.371  0.014662757  0.0
51.387  0.024437927  0.0
51.403  0.029325513  0.0
51.42  0.0342131  0.0048875855
51.42  0.0342131  0.0048875855
51.437  0.029325513  0.019550342
51.486  0.0342131  0.0048875855
51.486  0.0342131  0.0048875855
51.522  0.039100684  0.10752688
51.558  0.014662757  0.26881722
51.575  0.024437927  0.37634408
51.593  0.024437927  0.4398827
51.611  0.019550342  0.5278593
51.631  0.014662757  0.62072337
51.649  0.024437927  0.68914956
51.667  0.0342131  0.7282502
51.703  0.039100684  0.84066474
51.721  0.04398827  0.8748778
51.738  0.039100684  0.90909094
51.757  0.04398827  0.8993158
51.775  0.048875853  0.9139785
51.792  0.04398827  0.884653
51.829  0.039100684  0.8797654
51.847  0.039100684  0.90909094
51.864  0.039100684  0.93352884
51.881  0.039100684  0.9237537
51.9  0.039100684  0.8993158
51.934  0.0342131  0.83577716
51.934  0.0342131  0.83577716
51.95  0.039100684  0.7233626
51.997  0.04398827  0.39100683
51.997  0.04398827  0.39100683
52.012  0.04398827  0.26881722
52.041  0.019550342  0.12707722
52.056  0.029325513  0.092864126
52.097  0.04398827  0.04398827
52.097  0.04398827  0.04398827
52.123  0.039100684  0.0
52.15  0.019550342  0.0
52.164  0.0342131  0.0
52.191  0.009775171  0.0
52.204  0.014662757  0.0
52.234  0.019550342  0.0048875855
52.248  0.019550342  0.0
52.263  0.019550342  0.0
52.295  0.019550342  0.0342131
52.311  0.014662757  0.009775171
52.326  0.019550342  0.0048875855
52.36  0.019550342  0.08797654
52.376  0.029325513  0.14662756
52.392  0.039100684  0.18572825
52.427  0.05376344  0.27859238
52.444  0.0342131  0.3714565
52.46  0.0342131  0.48387095
52.477  0.029325513  0.52297163
52.496  0.019550342  0.58162266
52.514  0.019550342  0.6402737
52.551  0.039100684  0.68914956
52.551  0.039100684  0.68914956
52.59  0.039100684  0.68914956
52.61  0.048875853  0.73802537
52.629  0.039100684  0.6989247
52.647  0.04398827  0.6353861
52.666  0.04398827  0.58651024
52.684  0.039100684  0.48875856
52.719  0.04398827  0.2737048
52.737  0.048875853  0.2052786
52.755  0.05376344  0.14662756
52.771  0.04398827  0.058651026
52.803  0.039100684  0.0048875855
52.818  0.0342131  0.014662757
52.835  0.029325513  0.024437927
52.866  0.029325513  0.0
52.881  0.04398827  0.0
52.897  0.04398827  0.014662757
52.927  0.0342131  0.0
52.941  0.024437927  0.009775171
52.969  0.019550342  0.009775171
52.997  0.029325513  0.06353861
53.011  0.024437927  0.0684262
53.011  0.024437927  0.0684262
53.041  0.029325513  0.12707722
53.069  0.019550342  0.21016619
53.084  0.029325513  0.26392964
53.099  0.0342131  0.35679373
53.128  0.019550342  0.4692082
53.143  0.039100684  0.5278593
53.159  0.04398827  0.6060606
53.177  0.048875853  0.6793744
53.211  0.029325513  0.659824
53.23  0.048875853  0.6744868
53.249  0.058651026  0.659824
53.267  0.048875853  0.66471165
53.284  0.04398827  0.6402737
53.32  0.039100684  0.49364614
53.337  0.029325513  0.38123167
53.354  0.04398827  0.26881722
53.37  0.024437927  0.18572825
53.403  0.04398827  0.0684262
53.42  0.039100684  0.04398827
53.45  0.0342131  0.0048875855
53.466  0.029325513  0.0
53.482  0.039100684  0.0
53.499  0.039100684  0.009775171
53.532  0.039100684  0.014662757
53.549  0.04398827  0.0
53.566  0.04398827  0.0
53.582  0.048875853  0.024437927
53.616  0.039100684  0.08797654
53.634  0.024437927  0.12218964
53.65  0.04398827  0.14662756
53.666  0.039100684  0.19550341
53.7  0.04398827  0.38611925
53.716  0.039100684  0.44477028
53.734  0.039100684  0.5278593
53.751  0.0342131  0.601173
53.804  0.0342131  0.73802537
53.804  0.0342131  0.73802537
53.821  0.0342131  0.7771261
53.852  0.0342131  0.7722385
53.867  0.0342131  0.7478006
53.899  0.039100684  0.8162267
53.929  0.0342131  0.78690124
53.961  0.039100684  0.7331378
53.977  0.0342131  0.6744868
54.007  0.039100684  0.4154448
54.007  0.039100684  0.4154448
54.025  0.05376344  0.33235583
54.055  0.039100684  0.19550341
54.055  0.039100684  0.19550341
54.089  0.029325513  0.048875853
54.105  0.0342131  0.014662757
54.153  0.039100684  0.009775171
54.153  0.039100684  0.009775171
54.183  0.04398827  0.0
54.183  0.04398827  0.0
54.215  0.05376344  0.0
54.233  0.05376344  0.009775171
54.249  0.048875853  0.0
54.283  0.048875853  0.0
54.301  0.048875853  0.0
54.319  0.05376344  0.014662757
54.337  0.048875853  0.048875853
54.356  0.048875853  0.0684262
54.393  0.048875853  0.21994135
54.411  0.04398827  0.31769305
54.43  0.048875853  0.37634408
54.45  0.048875853  0.49853373
54.469  0.048875853  0.6158358
54.49  0.048875853  0.69403714
54.509  0.048875853  0.7331378
54.529  0.048875853  0.801564
54.548  0.048875853  0.826002
54.568  0.05376344  0.8504399
54.588  0.048875853  0.8699902
54.607  0.05376344  0.826002
54.647  0.048875853  0.7722385
54.667  0.048875853  0.66471165
54.687  0.048875853  0.5669599
54.706  0.05376344  0.38123167
54.724  0.05376344  0.25904202
54.743  0.05376344  0.15151516
54.762  0.048875853  0.08797654
54.78  0.048875853  0.048875853
54.815  0.05376344  0.029325513
54.834  0.048875853  0.0342131
54.85  0.04398827  0.029325513
54.866  0.039100684  0.0048875855
54.901  0.05376344  0.024437927
54.92  0.048875853  0.048875853
54.938  0.05376344  0.06353861
54.958  0.048875853  0.07820137
54.976  0.048875853  0.12218964
54.994  0.048875853  0.16129032
55.013  0.048875853  0.2346041
55.032  0.048875853  0.28836754
55.067  0.039100684  0.35679373
55.086  0.04398827  0.4154448
55.105  0.048875853  0.52297163
55.123  0.04398827  0.6158358
55.143  0.048875853  0.66471165
55.163  0.048875853  0.7086999
55.183  0.05376344  0.78690124
55.202  0.05376344  0.78690124
55.223  0.05376344  0.8162267
55.242  0.048875853  0.78690124
55.262  0.048875853  0.78201365
55.281  0.048875853  0.801564
55.321  0.048875853  0.8308896
55.321  0.048875853  0.8308896
55.361  0.048875853  0.80645156
55.38  0.048875853  0.76246333
55.4  0.048875853  0.7038123
55.42  0.05376344  0.58162266
55.439  0.05376344  0.4349951
55.457  0.048875853  0.29325512
55.476  0.048875853  0.22482894
55.494  0.04398827  0.1368524
55.529  0.039100684  0.05376344
