Time  Force1  Force2
8.401  628.0  1023.0
8.401  628.0  1023.0
8.421  765.0  1023.0
8.441  700.0  1023.0
8.461  655.0  1023.0
8.481  616.0  1023.0
8.481  616.0  1023.0
8.502  749.0  1023.0
8.521  689.0  1023.0
8.542  647.0  1023.0
8.582  717.0  1023.0
8.582  717.0  1023.0
8.601  665.0  1023.0
8.622  627.0  1023.0
8.642  762.0  1023.0
8.662  699.0  1023.0
8.681  655.0  1023.0
8.681  655.0  1023.0
8.702  619.0  1023.0
8.722  746.0  1023.0
8.722  746.0  1023.0
8.741  690.0  1023.0
8.763  647.0  1023.0
8.782  778.0  1023.0
8.782  778.0  1023.0
8.802  715.0  1023.0
8.821  666.0  1023.0
8.843  629.0  1023.0
8.882  700.0  1023.0
8.882  700.0  1023.0
8.902  658.0  1023.0
8.923  615.0  1023.0
8.942  748.0  1023.0
8.963  692.0  1023.0
8.963  692.0  1023.0
8.983  645.0  1023.0
9.003  783.0  1023.0
9.022  715.0  1023.0
9.042  667.0  1023.0
9.042  667.0  1023.0
9.063  627.0  1023.0
9.082  765.0  1023.0
9.103  700.0  1023.0
9.103  700.0  1023.0
9.122  658.0  1023.0
9.143  619.0  1023.0
9.183  690.0  1023.0
9.203  646.0  1023.0
9.203  646.0  1023.0
9.224  782.0  1023.0
9.243  717.0  1023.0
9.263  669.0  1023.0
9.263  669.0  1023.0
9.283  629.0  1023.0
9.304  770.0  1023.0
9.323  706.0  1023.0
9.323  706.0  1023.0
9.342  658.0  1023.0
9.364  623.0  1023.0
9.364  623.0  1023.0
9.383  755.0  1023.0
9.424  652.0  1023.0
9.444  785.0  1023.0
9.463  723.0  1023.0
9.463  723.0  1023.0
9.483  670.0  1023.0
9.504  635.0  1023.0
9.524  771.0  1023.0
9.543  709.0  1023.0
9.543  709.0  1023.0
9.564  660.0  1023.0
9.584  625.0  1023.0
9.604  760.0  1023.0
9.624  700.0  1023.0
9.624  700.0  1023.0
9.645  656.0  1023.0
9.664  791.0  1023.0
9.683  725.0  1023.0
9.683  725.0  1023.0
9.704  676.0  1023.0
9.724  639.0  1023.0
9.744  772.0  1023.0
9.764  715.0  1023.0
9.784  666.0  1023.0
9.784  666.0  1023.0
9.804  628.0  1023.0
9.825  765.0  1023.0
9.864  659.0  1023.0
9.864  659.0  1023.0
9.884  623.0  1023.0
9.905  753.0  1023.0
9.924  692.0  1023.0
9.945  650.0  1023.0
9.945  650.0  1023.0
9.965  787.0  1023.0
9.985  721.0  1023.0
10.004  669.0  1023.0
10.004  669.0  1023.0
10.025  814.0  1023.0
10.046  955.0  1023.0
10.066  978.0  1023.0
10.087  936.0  1023.0
10.087  936.0  1023.0
10.108  881.0  1023.0
10.129  808.0  1019.0
10.148  742.0  811.0
10.169  685.0  867.0
10.169  685.0  867.0
10.188  652.0  935.0
10.208  644.0  983.0
10.208  644.0  983.0
10.249  648.0  880.0
10.268  634.0  942.0
10.289  631.0  991.0
10.309  649.0  1023.0
10.309  649.0  1023.0
10.329  647.0  896.0
10.37  637.0  1005.0
10.37  637.0  1005.0
10.388  628.0  829.0
10.408  608.0  1023.0
10.408  608.0  1023.0
10.429  623.0  969.0
10.449  635.0  1017.0
10.468  632.0  850.0
10.489  614.0  1023.0
10.489  614.0  1023.0
10.529  641.0  1023.0
10.548  637.0  875.0
10.569  620.0  1023.0
10.569  620.0  1023.0
10.589  634.0  1000.0
10.609  621.0  1023.0
10.629  623.0  889.0
10.649  610.0  1023.0
10.649  610.0  1023.0
10.67  632.0  1006.0
10.689  629.0  835.0
10.71  604.0  1023.0
10.729  623.0  970.0
10.729  623.0  970.0
10.749  633.0  1013.0
10.769  627.0  853.0
10.789  611.0  1023.0
10.789  611.0  1023.0
10.809  625.0  983.0
10.83  638.0  1023.0
10.849  635.0  874.0
10.89  630.0  996.0
10.89  630.0  996.0
10.91  648.0  1023.0
10.93  644.0  904.0
10.949  630.0  966.0
10.971  632.0  1007.0
10.971  632.0  1007.0
10.989  626.0  833.0
11.01  601.0  1023.0
11.03  620.0  970.0
11.03  620.0  970.0
11.051  631.0  1016.0
11.069  628.0  860.0
11.09  611.0  1023.0
11.11  625.0  983.0
11.11  625.0  983.0
11.13  639.0  1023.0
11.149  634.0  879.0
11.19  633.0  996.0
11.21  649.0  1023.0
11.21  649.0  1023.0
11.231  642.0  904.0
11.25  627.0  965.0
11.271  632.0  1014.0
11.271  626.0  837.0
11.29  626.0  837.0
11.311  602.0  1023.0
11.33  619.0  972.0
11.33  619.0  972.0
11.351  630.0  1016.0
11.37  626.0  866.0
11.39  610.0  1023.0
11.41  624.0  989.0
11.41  624.0  989.0
11.431  639.0  1023.0
11.47  621.0  949.0
11.491  622.0  997.0
11.491  622.0  997.0
11.511  642.0  1023.0
11.531  640.0  910.0
11.55  625.0  966.0
11.572  629.0  1013.0
11.572  629.0  1013.0
11.59  626.0  846.0
11.611  605.0  1023.0
11.631  622.0  984.0
11.631  622.0  984.0
11.652  632.0  1021.0
11.67  632.0  870.0
11.692  611.0  1023.0
11.711  626.0  990.0
11.711  626.0  990.0
11.731  642.0  1023.0
11.751  639.0  893.0
11.771  622.0  960.0
11.791  626.0  1002.0
11.791  626.0  1002.0
11.832  618.0  906.0
11.851  611.0  964.0
11.872  623.0  1011.0
11.872  623.0  1011.0
11.891  619.0  849.0
11.912  603.0  1023.0
11.931  617.0  979.0
11.952  632.0  1023.0
11.952  632.0  1023.0
11.971  628.0  875.0
11.992  609.0  1023.0
12.011  628.0  997.0
12.033  644.0  1023.0
12.033  644.0  1023.0
12.052  637.0  897.0
12.071  620.0  961.0
12.092  626.0  1006.0
12.092  626.0  1006.0
12.112  613.0  1023.0
12.132  618.0  912.0
12.152  612.0  967.0
12.173  624.0  1010.0
12.173  624.0  1010.0
12.212  602.0  1023.0
12.232  617.0  981.0
12.253  632.0  1023.0
12.253  632.0  1023.0
12.271  630.0  875.0
12.293  610.0  1023.0
12.312  630.0  995.0
12.333  642.0  1023.0
12.333  642.0  1023.0
12.353  638.0  903.0
12.372  621.0  960.0
12.392  626.0  1003.0
12.392  626.0  1003.0
12.412  613.0  1023.0
12.433  617.0  910.0
12.452  611.0  973.0
12.492  619.0  858.0
12.492  619.0  858.0
12.513  605.0  1023.0
12.532  621.0  981.0
12.554  636.0  1023.0
12.554  636.0  1023.0
12.572  631.0  878.0
12.593  612.0  1023.0
12.612  626.0  992.0
12.634  643.0  1023.0
12.634  643.0  1023.0
12.653  638.0  900.0
12.673  622.0  961.0
12.713  613.0  1023.0
12.733  619.0  911.0
12.753  610.0  968.0
12.792  620.0  851.0
12.792  620.0  851.0
12.813  603.0  1023.0
12.833  621.0  978.0
12.854  633.0  1020.0
12.854  633.0  1020.0
12.872  633.0  879.0
12.894  614.0  1023.0
12.913  631.0  997.0
12.934  649.0  1023.0
12.934  649.0  1023.0
12.954  642.0  903.0
12.974  627.0  965.0
12.994  633.0  1008.0
13.012  626.0  832.0
13.012  626.0  832.0
13.034  606.0  1023.0
13.053  626.0  971.0
13.074  640.0  1014.0
13.074  640.0  1014.0
13.094  637.0  865.0
13.114  625.0  927.0
13.155  649.0  1022.0
13.155  649.0  1022.0
13.194  641.0  950.0
13.213  647.0  995.0
13.235  667.0  1023.0
13.254  668.0  913.0
13.254  668.0  913.0
13.274  658.0  970.0
